name,url
Fiji,https://www.gov.uk/foreign-travel-advice/fiji
Tanzania,https://www.gov.uk/foreign-travel-advice/tanzania
Western Sahara,https://www.gov.uk/foreign-travel-advice/western-sahara
Canada,https://www.gov.uk/foreign-travel-advice/canada
United States of America,https://www.gov.uk/foreign-travel-advice/usa
Kazakhstan,https://www.gov.uk/foreign-travel-advice/kazakhstan
Uzbekistan,https://www.gov.uk/foreign-travel-advice/uzbekistan
Papua New Guinea,https://www.gov.uk/foreign-travel-advice/papua-new-guinea
Indonesia,https://www.gov.uk/foreign-travel-advice/indonesia
Argentina,https://www.gov.uk/foreign-travel-advice/argentina
Chile,https://www.gov.uk/foreign-travel-advice/chile
Democratic Republic of the Congo,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo
Somalia,https://www.gov.uk/foreign-travel-advice/somalia
Kenya,https://www.gov.uk/foreign-travel-advice/kenya
Sudan,https://www.gov.uk/foreign-travel-advice/sudan
Chad,https://www.gov.uk/foreign-travel-advice/chad
Haiti,https://www.gov.uk/foreign-travel-advice/haiti
Dominican Republic,https://www.gov.uk/foreign-travel-advice/dominican-republic
Russia,https://www.gov.uk/foreign-travel-advice/russia
The Bahamas,https://www.gov.uk/foreign-travel-advice/bahamas
Falkland Islands,https://www.gov.uk/foreign-travel-advice/falkland-islands
Norway,https://www.gov.uk/foreign-travel-advice/norway
East Timor,https://www.gov.uk/foreign-travel-advice/timor-leste
South Africa,https://www.gov.uk/foreign-travel-advice/south-africa
Lesotho,https://www.gov.uk/foreign-travel-advice/lesotho
Mexico,https://www.gov.uk/foreign-travel-advice/mexico
Uruguay,https://www.gov.uk/foreign-travel-advice/uruguay
Brazil,https://www.gov.uk/foreign-travel-advice/brazil
Bolivia,https://www.gov.uk/foreign-travel-advice/bolivia
Peru,https://www.gov.uk/foreign-travel-advice/peru
Colombia,https://www.gov.uk/foreign-travel-advice/colombia
Panama,https://www.gov.uk/foreign-travel-advice/panama
Costa Rica,https://www.gov.uk/foreign-travel-advice/costa-rica
Nicaragua,https://www.gov.uk/foreign-travel-advice/nicaragua
Honduras,https://www.gov.uk/foreign-travel-advice/honduras
El Salvador,https://www.gov.uk/foreign-travel-advice/el-salvador
Guatemala,https://www.gov.uk/foreign-travel-advice/guatemala
Belize,https://www.gov.uk/foreign-travel-advice/belize
Venezuela,https://www.gov.uk/foreign-travel-advice/venezuela
Guyana,https://www.gov.uk/foreign-travel-advice/guyana
Suriname,https://www.gov.uk/foreign-travel-advice/suriname
France,https://www.gov.uk/foreign-travel-advice/france
Ecuador,https://www.gov.uk/foreign-travel-advice/ecuador
Jamaica,https://www.gov.uk/foreign-travel-advice/jamaica
Cuba,https://www.gov.uk/foreign-travel-advice/cuba
Zimbabwe,https://www.gov.uk/foreign-travel-advice/zimbabwe
Botswana,https://www.gov.uk/foreign-travel-advice/botswana
Namibia,https://www.gov.uk/foreign-travel-advice/namibia
Senegal,https://www.gov.uk/foreign-travel-advice/senegal
Mali,https://www.gov.uk/foreign-travel-advice/mali
Mauritania,https://www.gov.uk/foreign-travel-advice/mauritania
Benin,https://www.gov.uk/foreign-travel-advice/benin
Niger,https://www.gov.uk/foreign-travel-advice/niger
Nigeria,https://www.gov.uk/foreign-travel-advice/nigeria
Cameroon,https://www.gov.uk/foreign-travel-advice/cameroon
Togo,https://www.gov.uk/foreign-travel-advice/togo
Ghana,https://www.gov.uk/foreign-travel-advice/ghana
Ivory Coast,https://www.gov.uk/foreign-travel-advice/cote-d-ivoire
Guinea,https://www.gov.uk/foreign-travel-advice/guinea
Guinea-Bissau,https://www.gov.uk/foreign-travel-advice/guinea-bissau
Liberia,https://www.gov.uk/foreign-travel-advice/liberia
Sierra Leone,https://www.gov.uk/foreign-travel-advice/sierra-leone
Burkina Faso,https://www.gov.uk/foreign-travel-advice/burkina-faso
Central African Republic,https://www.gov.uk/foreign-travel-advice/central-african-republic
Republic of the Congo,https://www.gov.uk/foreign-travel-advice/congo
Gabon,https://www.gov.uk/foreign-travel-advice/gabon
Equatorial Guinea,https://www.gov.uk/foreign-travel-advice/equatorial-guinea
Zambia,https://www.gov.uk/foreign-travel-advice/zambia
Malawi,https://www.gov.uk/foreign-travel-advice/malawi
Mozambique,https://www.gov.uk/foreign-travel-advice/mozambique
eSwatini,https://www.gov.uk/foreign-travel-advice/eswatini
Angola,https://www.gov.uk/foreign-travel-advice/angola
Burundi,https://www.gov.uk/foreign-travel-advice/burundi
Israel,https://www.gov.uk/foreign-travel-advice/israel
Lebanon,https://www.gov.uk/foreign-travel-advice/lebanon
Madagascar,https://www.gov.uk/foreign-travel-advice/madagascar
